City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,port elizabeth,-33.918,25.5701,27.29,66,0,3.39,ZA,2023-04-05 09:00:00
227,boa vista,2.8197,-60.6733,25.45,66,32,4.14,BR,2023-04-05 09:00:00
228,patan,27.6667,85.3333,26.22,30,14,3.05,NP,2023-04-05 09:00:00
229,faya,18.3851,42.4509,19.12,59,45,5.02,SA,2023-04-05 09:00:00
230,mana,5.6592,-53.7767,24.72,80,77,4.91,GF,2023-04-05 09:00:00
231,innisfail,-17.5333,146.0333,27.88,76,95,1.13,AU,2023-04-05 09:00:00
232,taseyevo,57.2169,94.8978,-0.91,60,58,2.87,RU,2023-04-05 09:00:00
233,namatanai,-3.6667,152.4333,28.45,74,89,1.4,PG,2023-04-05 09:00:00
234,ortigueira,-24.2083,-50.9494,17.03,96,61,1.02,BR,2023-04-05 09:00:00
235,tura,25.5198,90.2201,31.75,44,10,3.98,IN,2023-04-05 09:00:00
236,ilulissat,69.2167,-51.1,-30.34,97,16,1.63,GL,2023-04-05 09:00:00
237,scottsbluff,41.8666,-103.6672,-7.01,82,71,6.92,US,2023-04-05 09:00:00
238,kenai,60.5544,-151.2583,0.25,97,100,0.11,US,2023-04-05 09:00:00
239,skibbereen,51.55,-9.2667,11.05,98,100,5.29,IE,2023-04-05 09:00:00
240,moindou,-21.6924,165.677,26.97,80,73,1.37,NC,2023-04-05 09:00:00
241,gizo,-8.103,156.8419,29.29,71,96,2.35,SB,2023-04-05 09:00:00
242,alice springs,-23.7,133.8833,31.65,41,60,9.82,AU,2023-04-05 09:00:00
243,atlantic beach,30.3344,-81.3987,20.81,93,69,2.29,US,2023-04-05 09:00:00
244,brigham city,41.5102,-112.0155,-4.37,91,100,1.97,US,2023-04-05 09:00:00
245,sarahan,31.5167,77.8,14.67,25,0,3.36,IN,2023-04-05 09:00:00
246,arlit,18.7369,7.3853,34.07,6,45,5.1,NE,2023-04-05 09:00:00
247,finschhafen,-6.6024,147.8681,28.05,75,64,1.73,PG,2023-04-05 09:00:00
248,port hedland,-20.3167,118.5667,33.3,54,57,7.53,AU,2023-04-05 09:00:00
249,anadyr,64.75,177.4833,-15.66,85,82,2.34,RU,2023-04-05 09:00:00
250,naze,28.3667,129.4833,20.03,76,99,8.28,JP,2023-04-05 09:00:00
